Interactor A,Interactor B,Protein Name A,Protein Name B
CHMP1B,PKIA,Charged multivesicular body protein 1b,cAMP-dependent protein kinase inhibitor alpha
CHMP2B,SNCB,Charged multivesicular body protein 2b,Beta-synuclein
UBQLN4,PTTG1,Ubiquilin-4,Securin
UBQLN4,NPPB,Ubiquilin-4,Natriuretic peptides B
UBQLN4,SPP1,Ubiquilin-4,Osteopontin
CHMP2A,TMSB4X,Charged multivesicular body protein 2a,Thymosin beta-4
ULK3,SPP1,Serine/threonine-protein kinase ULK3,Osteopontin
VPS33A,BNIP3,Vacuolar protein sorting-associated protein 33A,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
VPS33A,PCLAF,Vacuolar protein sorting-associated protein 33A,PCNA-associated factor
ATG9B,PTTG1,Autophagy-related protein 9B,Securin
ATG9B,BNIP3,Autophagy-related protein 9B,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
ATG9B,SPP1,Autophagy-related protein 9B,Osteopontin
ATG9B,PCLAF,Autophagy-related protein 9B,PCNA-associated factor
TP53INP2,HMGN1,Tumor protein p53-inducible nuclear protein 2,Non-histone chromosomal protein HMG-14
TP53INP2,CD247,Tumor protein p53-inducible nuclear protein 2,T-cell surface glycoprotein CD3 zeta chain
HAP1,HTN3,Huntingtin-associated protein 1,Histatin-3
HAP1,BNIP3,Huntingtin-associated protein 1,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
HAP1,CD247,Huntingtin-associated protein 1,T-cell surface glycoprotein CD3 zeta chain
HAP1,STATH,Huntingtin-associated protein 1,Statherin
HAP1,PTMA,Huntingtin-associated protein 1,Prothymosin alpha
NBR1,BNIP3,Next to BRCA1 gene 1 protein,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
NBR1,SPP1,Next to BRCA1 gene 1 protein,Osteopontin
WIPI1,PTTG1,WD repeat domain phosphoinositide-interacting protein 1,Securin
WIPI1,BNIP3,WD repeat domain phosphoinositide-interacting protein 1,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
WIPI1,SPP1,WD repeat domain phosphoinositide-interacting protein 1,Osteopontin
WIPI1,DMP1,WD repeat domain phosphoinositide-interacting protein 1,Dentin matrix acidic phosphoprotein 1
WIPI1,PCLAF,WD repeat domain phosphoinositide-interacting protein 1,PCNA-associated factor
CLN3,HTN3,Battenin,Histatin-3
CLN3,PTTG1,Battenin,Securin
CLN3,SPP1,Battenin,Osteopontin
CLN3,CD247,Battenin,T-cell surface glycoprotein CD3 zeta chain
CLN3,PCLAF,Battenin,PCNA-associated factor
CLN3,STATH,Battenin,Statherin
ZFYVE1,BNIP3,Zinc finger FYVE domain-containing protein 1,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
ZFYVE1,PCLAF,Zinc finger FYVE domain-containing protein 1,PCNA-associated factor
VPS18,BNIP3,Vacuolar protein sorting-associated protein 18 homolog,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
VPS18,TMSB4X,Vacuolar protein sorting-associated protein 18 homolog,Thymosin beta-4
VPS18,AMBN,Vacuolar protein sorting-associated protein 18 homolog,Ameloblastin
VPS18,PPP1R11,Vacuolar protein sorting-associated protein 18 homolog,E3 ubiquitin-protein ligase PPP1R11
VPS18,PCLAF,Vacuolar protein sorting-associated protein 18 homolog,PCNA-associated factor
VPS18,PTMA,Vacuolar protein sorting-associated protein 18 homolog,Prothymosin alpha
TAX1BP1,KISS1,Tax1-binding protein 1,Metastasis-suppressor KiSS-1
TAX1BP1,PTTG1,Tax1-binding protein 1,Securin
TAX1BP1,SPP1,Tax1-binding protein 1,Osteopontin
VPS16,BNIP3,Vacuolar protein sorting-associated protein 16 homolog,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
VPS16,AMBN,Vacuolar protein sorting-associated protein 16 homolog,Ameloblastin
VPS16,PPP1R11,Vacuolar protein sorting-associated protein 16 homolog,E3 ubiquitin-protein ligase PPP1R11
VPS16,PCLAF,Vacuolar protein sorting-associated protein 16 homolog,PCNA-associated factor
TM9SF1,BNIP3,Transmembrane 9 superfamily member 1,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
TM9SF1,AMBN,Transmembrane 9 superfamily member 1,Ameloblastin
TM9SF1,PPP1R11,Transmembrane 9 superfamily member 1,E3 ubiquitin-protein ligase PPP1R11
TM9SF1,PCLAF,Transmembrane 9 superfamily member 1,PCNA-associated factor
C9orf72,BNIP3,Guanine nucleotide exchange factor C9orf72,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
VPS11,AMBN,Vacuolar protein sorting-associated protein 11 homolog,Ameloblastin
VPS11,PPP1R11,Vacuolar protein sorting-associated protein 11 homolog,E3 ubiquitin-protein ligase PPP1R11
TMEM74,PTTG1,Transmembrane protein 74,Securin
TMEM74,BNIP3,Transmembrane protein 74,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
TMEM74,SPP1,Transmembrane protein 74,Osteopontin
TMEM74,PCLAF,Transmembrane protein 74,PCNA-associated factor
RUBCNL,KISS1,Protein associated with UVRAG as autophagy enhancer,Metastasis-suppressor KiSS-1
RUBCNL,BNIP3,Protein associated with UVRAG as autophagy enhancer,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
AUP1,HTN3,Lipid droplet-regulating VLDL assembly factor AUP1,Histatin-3
AUP1,CD247,Lipid droplet-regulating VLDL assembly factor AUP1,T-cell surface glycoprotein CD3 zeta chain
AUP1,STATH,Lipid droplet-regulating VLDL assembly factor AUP1,Statherin
TMEM150B,KISS1,Modulator of macroautophagy TMEM150B,Metastasis-suppressor KiSS-1
RAB12,BNIP3,Ras-related protein Rab-12,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
NRBF2,BNIP3,Nuclear receptor-binding factor 2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
NRBF2,PCLAF,Nuclear receptor-binding factor 2,PCNA-associated factor
GABARAPL3,AMBN,Gamma-aminobutyric acid receptor-associated protein-like 3,Ameloblastin
GABARAPL3,PPP1R11,Gamma-aminobutyric acid receptor-associated protein-like 3,E3 ubiquitin-protein ligase PPP1R11
RAB3GAP2,KISS1,Rab3 GTPase-activating protein non-catalytic subunit,Metastasis-suppressor KiSS-1
TEX264,PABIR1,Testis-expressed protein 264,PPP2R1A-PPP2R2A-interacting phosphatase regulator 1
